model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
ViT-B-32-quickgelu,metaclip_400m,ViT-B-32-quickgelu_metaclip_400m,CLIP,,,32.0,224,MetaCLIP-400m,True,512.0,151.3,0.882,0.67,0.776,0.584,"obj=country, bg=urban, co=urban",0.944,"obj=urban, bg=urban, co=urban",0.192,1000,9.7,2.0,0.768,0.664,0.664,0.584,0.88,0.872,0.832,0.944,B
RN50x4-quickgelu,openai,RN50x4-quickgelu_openai,ResNet,50.0,x4,,288,OpenAI-400m,True,640.0,178.3,0.816,0.734,0.775,0.664,"obj=country, bg=urban, co=urban",0.928,"obj=urban, bg=urban, co=urban",0.1109999999999999,1000,8.8,2.8,0.816,0.736,0.72,0.664,0.712,0.816,0.808,0.928,
PE-Core-T-16-384,meta,PE-Core-T-16-384_meta,PE,,,16.0,384,MetaCLIP-5.4b,False,,69.5,0.882,0.662,0.772,0.632,"obj=country, bg=urban, co=urban",0.928,"obj=urban, bg=urban, co=urban",0.14,1000,6.0,3.0,0.664,0.688,0.664,0.632,0.888,0.832,0.88,0.928,
ViT-B-16-plus-240,laion400m_e32,ViT-B-16-plus-240_laion400m_e32,CLIP,,,16.0,240,LAION-400m,False,640.0,208.4,0.73,0.814,0.772,0.624,"obj=urban, bg=country, co=country",0.864,"obj=country, bg=urban, co=country",0.148,1000,2.1,2.3,0.84,0.776,0.864,0.776,0.624,0.816,0.624,0.856,B
ViT-B-16-plus-240,laion400m_e31,ViT-B-16-plus-240_laion400m_e31,CLIP,,,16.0,240,LAION-400m,False,640.0,208.4,0.73,0.814,0.772,0.624,"obj=urban, bg=country, co=country",0.864,"obj=country, bg=urban, co=country",0.148,1000,12.0,2.2,0.84,0.776,0.864,0.776,0.624,0.816,0.624,0.856,B
ViT-B-32-quickgelu,laion400m_e32,ViT-B-32-quickgelu_laion400m_e32,CLIP,,,32.0,224,LAION-400m,True,512.0,151.3,0.644,0.9,0.772,0.56,"obj=urban, bg=urban, co=country",0.936,"obj=country, bg=country, co=country",0.2119999999999999,1000,9.9,1.9,0.936,0.896,0.872,0.896,0.656,0.704,0.56,0.656,B
RN50,openai,RN50_openai,ResNet,50.0,x1,,224,OpenAI-400m,False,1024.0,102.0,0.752,0.79,0.771,0.64,"obj=urban, bg=country, co=country",0.872,"obj=urban, bg=urban, co=urban",0.131,1000,6.3,2.2,0.832,0.8,0.776,0.752,0.64,0.776,0.72,0.872,
RN101-quickgelu,openai,RN101-quickgelu_openai,ResNet,101.0,x1,,224,OpenAI-400m,True,512.0,119.7,0.748,0.792,0.77,0.656,"obj=urban, bg=country, co=country",0.88,"obj=urban, bg=urban, co=urban",0.1139999999999999,1000,7.3,2.3,0.824,0.824,0.776,0.744,0.656,0.768,0.688,0.88,
ViT-B-16,commonpool_l_basic_s1b_b8k,ViT-B-16_commonpool_l_basic_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.908,0.632,0.77,0.576,"obj=country, bg=urban, co=urban",0.96,"obj=urban, bg=country, co=urban",0.194,1000,11.0,2.0,0.68,0.592,0.68,0.576,0.928,0.96,0.816,0.928,B
ViT-L-14-336,openai,ViT-L-14-336_openai,CLIP,,,14.0,336,OpenAI-400m,False,768.0,427.9,0.762,0.776,0.769,0.544,"obj=urban, bg=country, co=country",0.944,"obj=urban, bg=urban, co=urban",0.2249999999999999,1000,17.0,7.0,0.848,0.808,0.832,0.616,0.544,0.824,0.736,0.944,L
ViTamin-L2,datacomp1b,ViTamin-L2_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,687.6,0.634,0.902,0.768,0.472,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=urban, co=country",0.296,1000,36.5,3.6,0.936,0.888,0.944,0.84,0.472,0.72,0.52,0.824,
ViTamin-XL-384,datacomp1b,ViTamin-XL-384_datacomp1b,ViTamin,,,14.0,256,DataComp-1b,False,,924.8,0.586,0.95,0.768,0.424,"obj=urban, bg=country, co=country",0.968,"obj=country, bg=country, co=country",0.344,1000,78.0,4.0,0.968,0.928,0.968,0.936,0.424,0.728,0.456,0.736,
ViT-B-16,datacomp_l_s1b_b8k,ViT-B-16_datacomp_l_s1b_b8k,CLIP,,,16.0,224,DataComp-1b,False,512.0,149.6,0.976,0.558,0.767,0.488,"obj=country, bg=urban, co=urban",0.992,"obj=urban, bg=country, co=country",0.279,1000,10.4,2.0,0.592,0.608,0.544,0.488,0.992,0.96,0.968,0.984,B
ViT-B-32,metaclip_fullcc,ViT-B-32_metaclip_fullcc,CLIP,,,32.0,224,CommonCrawl-2.5b,False,512.0,151.3,0.662,0.872,0.767,0.608,"obj=urban, bg=country, co=urban",0.92,"obj=country, bg=country, co=country",0.159,1000,10.7,1.8,0.92,0.896,0.848,0.824,0.656,0.608,0.632,0.752,B
RN50x16,openai,RN50x16_openai,ResNet,50.0,x16,,384,OpenAI-400m,False,768.0,291.0,0.982,0.548,0.765,0.504,"obj=country, bg=urban, co=urban",0.992,"obj=urban, bg=urban, co=country",0.261,1000,13.6,5.6,0.568,0.552,0.568,0.504,0.984,0.976,0.992,0.976,
convnext_xxlarge,laion2b_s34b_b82k_augreg_rewind,convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,ConvNeXt,,,,256,LAION-2b,False,,1200.6,0.604,0.926,0.765,0.408,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=country",0.357,1000,24.5,5.3,0.944,0.944,0.928,0.888,0.408,0.696,0.544,0.768,
ViT-B-16,openai,ViT-B-16_openai,CLIP,,,16.0,224,OpenAI-400m,False,512.0,149.6,0.72,0.806,0.763,0.536,"obj=urban, bg=country, co=country",0.896,"obj=country, bg=country, co=country",0.2269999999999999,1000,8.0,2.1,0.896,0.76,0.864,0.704,0.536,0.768,0.688,0.888,B
ViT-bigG-14-quickgelu,metaclip_fullcc,ViT-bigG-14-quickgelu_metaclip_fullcc,CLIP,,,14.0,224,CommonCrawl-2.5b,True,1280.0,2539.6,0.57,0.952,0.761,0.432,"obj=urban, bg=urban, co=country",0.984,"obj=country, bg=urban, co=country",0.329,1000,189.9,14.3,0.968,0.936,0.984,0.92,0.464,0.664,0.432,0.72,bigG
