model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
convnext_base,laion400m_s13b_b51k,convnext_base_laion400m_s13b_b51k,ConvNeXt,,,,224,LAION-400M,False,,151.5,0.774,0.874,0.824,0.696,"obj=urban, bg=country, co=country",0.896,"obj=country, bg=country, co=country",0.128,1000,10.1,2.3,0.896,0.864,0.888,0.848,0.696,0.832,0.728,0.84,
ViT-g-14,laion2b_s34b_b88k,ViT-g-14_laion2b_s34b_b88k,ViT,,,14.0,224,LAION-2B,False,1024.0,1366.7,0.756,0.892,0.824,0.64,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=country, co=country",0.18399999999999994,1000,61.5,7.2,0.936,0.904,0.888,0.84,0.64,0.768,0.744,0.872,g
nllb-clip-base-siglip,v1,nllb-clip-base-siglip_v1,SigLIP,,,,384,v1,False,,507.5,0.82,0.828,0.824,0.744,"obj=urban, bg=country, co=country",0.928,"obj=urban, bg=country, co=urban",0.07999999999999996,1000,33.7,4.1,0.864,0.752,0.856,0.84,0.744,0.928,0.76,0.848,
ViT-B-16,laion2b_s34b_b88k,ViT-B-16_laion2b_s34b_b88k,ViT,,,16.0,224,LAION-2B,False,512.0,149.6,0.914,0.734,0.824,0.672,"obj=country, bg=urban, co=urban",0.976,"obj=urban, bg=urban, co=urban",0.1519999999999999,1000,9.2,2.0,0.808,0.696,0.76,0.672,0.856,0.928,0.896,0.976,B
ViT-SO400M-14-SigLIP2-378,webli,ViT-SO400M-14-SigLIP2-378_webli,ViT,,,,378,WebLI,False,,1136.0,0.676,0.968,0.822,0.472,"obj=urban, bg=urban, co=country",0.992,"obj=country, bg=country, co=country",0.35,1000,60.1,9.5,0.992,0.928,0.984,0.968,0.504,0.832,0.472,0.896,
convnext_base_w,laion2b_s13b_b82k,convnext_base_w_laion2b_s13b_b82k,ConvNeXt,,,,256,LAION-2B,False,,179.4,0.828,0.816,0.822,0.752,"obj=country, bg=country, co=urban",0.88,"obj=urban, bg=country, co=urban",0.06999999999999995,1000,11.1,1.5,0.832,0.752,0.864,0.816,0.816,0.88,0.752,0.864,
ViT-B-16,dfn2b,ViT-B-16_dfn2b,ViT,,,16.0,224,DFN,False,512.0,149.6,0.934,0.71,0.822,0.704,"obj=country, bg=country, co=urban",0.96,"obj=urban, bg=country, co=urban",0.118,1000,9.5,2.0,0.712,0.704,0.72,0.704,0.912,0.96,0.92,0.944,B
RN50x64-quickgelu,openai,RN50x64-quickgelu_openai,ResNet,50.0,x64,,448,OpenAI WIT (400M),True,1024.0,623.3,0.972,0.67,0.821,0.616,"obj=country, bg=urban, co=urban",0.992,"obj=urban, bg=urban, co=country",0.20499999999999996,1000,23.0,10.2,0.712,0.664,0.688,0.616,0.968,0.952,0.992,0.976,
convnext_large_d,laion2b_s26b_b102k_augreg,convnext_large_d_laion2b_s26b_b102k_augreg,ConvNeXt,,,,256,LAION-2B,False,,351.8,0.8,0.842,0.821,0.648,"obj=urban, bg=country, co=country",0.944,"obj=urban, bg=urban, co=urban",0.17299999999999993,1000,19.4,2.0,0.904,0.824,0.872,0.768,0.648,0.84,0.768,0.944,
ViTamin-L2-336,datacomp1b,ViTamin-L2-336_datacomp1b,ViT,,,,336,DataComp,False,,687.9,0.788,0.854,0.821,0.648,"obj=urban, bg=country, co=country",0.92,"obj=country, bg=urban, co=country",0.17299999999999993,1000,36.6,6.7,0.888,0.784,0.92,0.824,0.648,0.88,0.704,0.92,
