model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-L-14_openai,ViT-L-14,CLIP,CLIP,427.6,224,OpenAI-400m,0.7287,0.544,0.747,0.20299999999999996,0.7287,0.544,0.18469999999999998,0.7465349252092768
ViT-B-32-256_datacomp_s34b_b86k,ViT-B-32-256,CLIP,CLIP,151.3,256,DataComp-1b,0.7281,0.704,0.816,0.11199999999999999,0.7281,0.704,0.02410000000000001,0.9669001510781486
ViT-L-14_laion400m_e32,ViT-L-14,CLIP,CLIP,427.6,224,LAION-400m,0.7275400000000001,0.568,0.797,0.2290000000000001,0.7275400000000001,0.568,0.15954000000000013,0.7807130879401818
ViT-L-14_laion400m_e31,ViT-L-14,CLIP,CLIP,427.6,224,LAION-400m,0.72694,0.52,0.792,0.272,0.72694,0.52,0.20694,0.7153272622224668
MobileCLIP-S1_datacompdr,MobileCLIP-S1,CLIP,MobileCLIP,85.0,256,DataComp-1b,0.7259399999999999,0.504,0.76,0.256,0.7259399999999999,0.504,0.22193999999999992,0.6942722539052815
PE-Core-S-16-384_meta,PE-Core-S-16-384,CLIP,PE,87.2,384,MetaCLIP-5.4b,0.7245199999999999,0.752,0.859,0.10699999999999998,0.7245199999999999,0.752,-0.02748000000000006,1.0379285595980787
ViT-L-14_commonpool_xl_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,CommonPool-12.8b,0.72292,0.68,0.843,0.16299999999999992,0.72292,0.68,0.04291999999999996,0.9406296685663698
ViT-B-16-quickgelu_metaclip_fullcc,ViT-B-16-quickgelu,CLIP,CLIP,149.6,224,CommonCrawl-2.5b,0.72146,0.688,0.807,0.1190000000000001,0.72146,0.688,0.033460000000000045,0.9536218224156571
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,coca_ViT-L-14,CoCa,CoCa,638.5,224,LAION-2b,0.72136,0.776,0.872,0.09599999999999997,0.72136,0.776,-0.05464000000000002,1.0757458134634579
convnext_base_w_320_laion_aesthetic_s13b_b82k,convnext_base_w_320,CLIP,ConvNeXt,179.4,320,LAION-A-900m,0.7169,0.672,0.819,0.1469999999999999,0.7169,0.672,0.04489999999999994,0.937369228623239
MobileCLIP2-S0_dfndr2b,MobileCLIP2-S0,CLIP,MobileCLIP2,74.8,256,DFNDR-2b,0.7156999999999999,0.768,0.832,0.06399999999999995,0.7156999999999999,0.768,-0.052300000000000124,1.073075310884449
convnext_base_w_laion2b_s13b_b82k_augreg,convnext_base_w,CLIP,ConvNeXt,179.4,256,LAION-2b,0.7145,0.584,0.811,0.2270000000000001,0.7145,0.584,0.13050000000000006,0.8173547935619313
convnext_base_w_320_laion_aesthetic_s13b_b82k_augreg,convnext_base_w_320,CLIP,ConvNeXt,179.4,320,LAION-A-900m,0.7126399999999999,0.704,0.8,0.09600000000000009,0.7126399999999999,0.704,0.008639999999999981,0.9878760664571172
convnext_base_w_laion_aesthetic_s13b_b82k,convnext_base_w,CLIP,ConvNeXt,179.4,256,LAION-A-900m,0.70974,0.624,0.791,0.16700000000000004,0.70974,0.624,0.08574000000000004,0.8791951982416095
ViT-B-16-quickgelu_metaclip_400m,ViT-B-16-quickgelu,CLIP,CLIP,149.6,224,MetaCLIP-400m,0.7081000000000001,0.704,0.831,0.127,0.7081000000000001,0.704,0.0041000000000001036,0.9942098573647788
convnext_base_w_laion2b_s13b_b82k,convnext_base_w,CLIP,ConvNeXt,179.4,256,LAION-2b,0.70794,0.752,0.822,0.06999999999999995,0.70794,0.752,-0.04405999999999999,1.0622369127327174
ViTamin-B-LTT_datacomp1b,ViTamin-B-LTT,CLIP,ViTamin,211.4,224,DataComp-1b,0.70736,0.664,0.789,0.125,0.70736,0.664,0.043359999999999954,0.9387016512101335
RN50x16-quickgelu_openai,RN50x16-quickgelu,CLIP,ResNet,291.0,384,OpenAI-400m,0.7071999999999999,0.464,0.749,0.285,0.7071999999999999,0.464,0.24319999999999992,0.656108597285068
ViT-B-16_laion2b_s34b_b88k,ViT-B-16,CLIP,CLIP,149.6,224,LAION-2b,0.70208,0.672,0.824,0.1519999999999999,0.70208,0.672,0.030079999999999996,0.9571558796718322
