method,seed,epoch,threshold,worst_group_acc,avg_acc
sd,0,40,30,0.3866666666666666,0.7542614406508477
sd,0,40,35,0.3866666666666666,0.7505340587209732
sd,0,40,40,0.4666666666666667,0.7758550819148645
sd,0,40,45,0.4848484848484848,0.8444754319754318
sd,1,40,0,0.0,0.759459112644479
sd,1,40,5,0.0,0.7584374320019065
sd,1,40,10,0.0666666666666666,0.770893951504031
sd,1,40,15,0.2533333333333333,0.7655172292008317
sd,1,40,20,0.2533333333333333,0.7592192283686358
sd,1,40,25,0.2533333333333333,0.7504014410558579
sd,1,40,30,0.2533333333333333,0.7572218645180221
sd,1,40,35,0.2533333333333333,0.7518313211383393
sd,1,40,40,0.4242424242424242,0.785905457264153
sd,1,40,45,0.4242424242424242,0.8574864949864949
sd,2,40,0,0.0,0.7606503425279691
sd,2,40,5,0.0,0.76049857635197
sd,2,40,10,0.1333333333333333,0.7682235227498484
sd,2,40,15,0.2698412698412698,0.7575447671396343
sd,2,40,20,0.2698412698412698,0.7522796417010783
sd,2,40,25,0.2698412698412698,0.7480744730678435
sd,2,40,30,0.4,0.7648004508831447
sd,2,40,35,0.4,0.7455789798576018
sd,2,40,40,0.4375,0.7704989716402759
sd,2,40,45,0.4545454545454545,0.8334972897472899
di,0,40,0,0.0,0.5840144131521996
di,0,40,5,0.0,0.6297356401597398
di,0,40,10,0.0,0.6660504123480554
di,0,40,15,0.0,0.6659588646947688
di,0,40,20,0.0,0.6627355787950742
di,0,40,25,0.0,0.6498058313717586
di,0,40,30,0.0,0.6672751389261574
di,0,40,35,0.0,0.6620197858239851
di,0,40,40,0.0,0.5973522099880796
di,0,40,45,0.2564102564102564,0.7284130221630222
di,1,40,0,0.0,0.5928599933932189
di,1,40,5,0.0,0.6351660072785796
di,1,40,10,0.0,0.6607342327086562
di,1,40,15,0.0,0.6334301029924801
di,1,40,20,0.0,0.6133420483808661
di,1,40,25,0.0,0.6606622857021058
di,1,40,30,0.0,0.6329774696009978
di,1,40,35,0.0,0.5789403374164604
di,1,40,40,0.1333333333333333,0.6832986900378205
di,1,40,45,0.4747474747474747,0.73490675990676
di,2,40,0,0.0,0.597091124392313
di,2,40,5,0.0,0.6381157704230735
di,2,40,10,0.0,0.6692067546059552
di,2,40,15,0.0,0.6778419723130256
di,2,40,20,0.0,0.6635767141606832
di,2,40,25,0.0,0.6475861264933138
di,2,40,30,0.0,0.6533890201351534
di,2,40,35,0.0,0.6628211026251495
di,2,40,40,0.0833333333333333,0.6608067677089415
di,2,40,45,0.3333333333333333,0.6726935101935102
bb,0,40,0,0.0,0.7468100600031526
bb,0,40,5,0.0,0.7488900085969331
bb,0,40,10,0.0,0.758471586962447
bb,0,40,15,0.2539682539682539,0.7559884654459401
bb,0,40,20,0.2539682539682539,0.7560628105828172
bb,0,40,25,0.2539682539682539,0.744107237023604
bb,0,40,30,0.2933333333333333,0.7605257185698058
bb,0,40,35,0.2933333333333333,0.7530689909469811
bb,0,40,40,0.45,0.7696113477906954
bb,0,40,45,0.5050505050505051,0.8219801032301032
bb,1,40,0,0.0,0.7496200315145792
bb,1,40,5,0.0,0.7522321350426954
bb,1,40,10,0.0666666666666666,0.7604715135523407
bb,1,40,15,0.1466666666666666,0.7564080690138296
bb,1,40,20,0.1466666666666666,0.7485195455123013
bb,1,40,25,0.1466666666666666,0.7436722577316086
bb,1,40,30,0.1466666666666666,0.7604229308132607
bb,1,40,35,0.1466666666666666,0.7442012488010683
bb,1,40,40,0.4791666666666667,0.7783106959465654
bb,1,40,45,0.5050505050505051,0.8525141525141524
bb,2,40,0,0.0,0.7550364616039396
bb,2,40,5,0.0,0.7528688544332757
bb,2,40,10,0.0666666666666666,0.7662934167217255
bb,2,40,15,0.2222222222222222,0.7549764947539099
bb,2,40,20,0.2222222222222222,0.7483311079239874
bb,2,40,25,0.2352941176470588,0.7415138188795362
bb,2,40,30,0.3125,0.7675630191789515
bb,2,40,35,0.3125,0.755608150251361
bb,2,40,40,0.4666666666666667,0.7916188370807937
bb,2,40,45,0.5151515151515151,0.8376093813593813
end,0,40,0,0.0,0.755658809350549
end,0,40,5,0.0,0.750416324945635
end,0,40,10,0.2,0.7590209095375344
end,0,40,15,0.2352941176470588,0.7505560025314226
end,0,40,20,0.2352941176470588,0.7460015425653782
end,0,40,25,0.2352941176470588,0.7376906088602982
end,0,40,30,0.28,0.7572709615318215
end,0,40,35,0.28,0.7490844837596637
end,0,40,40,0.4646464646464646,0.7807045299708343
end,0,40,45,0.4646464646464646,0.8511853886853886
end,1,40,0,0.0,0.7614831722129631
end,1,40,5,0.0,0.7619334454486375
end,1,40,10,0.0666666666666666,0.7727075315911037
end,1,40,15,0.1733333333333333,0.765964469721609
end,1,40,20,0.1733333333333333,0.7597324680838735
end,1,40,25,0.1733333333333333,0.7500369905311484
end,1,40,30,0.1733333333333333,0.7554970267726022
end,1,40,35,0.1733333333333333,0.7447074298125524
end,1,40,40,0.3939393939393939,0.7783079139057401
end,1,40,45,0.3939393939393939,0.8406003718503718
end,2,40,0,0.0,0.7656264779343197
end,2,40,5,0.0,0.7652619221405061
end,2,40,10,0.1333333333333333,0.7731357408236017
end,2,40,15,0.2222222222222222,0.7594701312702884
end,2,40,20,0.2222222222222222,0.7534369112702982
end,2,40,25,0.2222222222222222,0.7493757447932536
end,2,40,30,0.2933333333333333,0.7621293253289966
end,2,40,35,0.2933333333333333,0.7424469969877672
end,2,40,40,0.4646464646464646,0.7767116377985944
end,2,40,45,0.4646464646464646,0.8214782902282902
groupdro,0,21,0,0.0,0.6740680739752218
groupdro,0,21,5,0.0,0.6780153350818559
groupdro,0,21,10,0.0,0.678438451031092
groupdro,0,21,15,0.0,0.6781319038712005
groupdro,0,21,20,0.0,0.6657761192285003
groupdro,0,21,25,0.0,0.6662413548545855
groupdro,0,21,30,0.2037037037037037,0.7052570456159352
groupdro,0,21,35,0.2037037037037037,0.7086584996900691
groupdro,0,21,40,0.2307692307692307,0.7322399239247065
groupdro,0,21,45,0.2307692307692307,0.7522736522736523
groupdro,1,21,0,0.0,0.6763602478811508
groupdro,1,21,5,0.0,0.6817235960379411
groupdro,1,21,10,0.0,0.6888367954687264
groupdro,1,21,15,0.0333333333333333,0.6805028169703083
groupdro,1,21,20,0.0333333333333333,0.6692126377318001
groupdro,1,21,25,0.037037037037037,0.66750356508495
groupdro,1,21,30,0.1025641025641025,0.6835952534525693
groupdro,1,21,35,0.1025641025641025,0.6968858096507293
groupdro,1,21,40,0.1025641025641025,0.7175266339940254
groupdro,1,21,45,0.1025641025641025,0.7537268287268286
groupdro,2,21,0,0.0,0.6949193270477655
groupdro,2,21,5,0.0,0.6913371078448891
groupdro,2,21,10,0.0,0.7006827042840404
groupdro,2,21,15,0.1666666666666666,0.6970310723634959
groupdro,2,21,20,0.1666666666666666,0.6857867826339364
groupdro,2,21,25,0.1794871794871795,0.6819645755500255
groupdro,2,21,30,0.1794871794871795,0.7086651639192438
groupdro,2,21,35,0.1794871794871795,0.7247902665747181
groupdro,2,21,40,0.1794871794871795,0.7409933987107901
groupdro,2,21,45,0.1794871794871795,0.7837826525326526
